id;tipo_contacto;descricao;contacto;pessoa_id
1;SMTP;matrices;Savings Account redefine Multi-channelled;1
2;Team-oriented;initiatives;Jordan;2
3;Uganda Shilling Cotton;Persevering Personal Loan Account;De-engineered strategic integrate;3
4;array payment;optical transmitter;Utah COM;4
5;Botswana;zero defect;Granite;5
6;Program;deposit;Estate;6
7;Incredible Sleek Arizona;Shirt Architect Developer;Automotive;7
8;invoice;Minnesota Open-architected Lebanon;Tugrik Wooden;8
9;Plastic;capacitor;feed;9
10;Officer;feed;communities;10
