id;descricao;proprietario;numero_conta;iban;ativo;mostrar_documento;mostrar_ponto_venda;padrao_recebimento;padrao_pagamento
1;Tennessee;neutral Cambridgeshire;solid state;AZ2782JM08441000997000604964;true;false;false;false;false
2;4th generation;content-based;Forward;EE632744702801915473;false;true;false;false;true
3;Venezuela Rubber;Markets Refined Cotton Cheese modular;Cambridgeshire Engineer Metal;PK39133Y9102220075908750;true;true;true;true;true
4;Multi-channelled;Berkshire Keyboard Branding;olive Practical AI;JO51QTOH0051390082213750261229;false;true;true;true;true
5;Toys Ergonomic Granite Pants;interactive target primary;withdrawal navigating;GT5679252756739N167389H91218;true;true;true;false;false
6;bluetooth Executive;RAM 1080p Bedfordshire;Administrator Cambridgeshire Metal;PK5439Z60150018207180095;false;true;true;false;true
7;Internal withdrawal;end-to-end;transmitting FTP;LV92EGSCC749716457U8G;true;false;false;true;true
8;extranet;Movies Colombian Peso Unidad de Valor Real Pizza;Vision-oriented bypassing;FI0400485230136998;false;true;true;true;false
9;Future invoice;UAE Dirham Florida Fantastic;brand Synergistic;GT3414U4040Z1S9V6V9Q56N6L210;false;false;false;false;false
10;Gateway secured line;Incredible Focused;quantify Ergonomic Fresh Salad SCSI;MD7258E02U059850851096V8;true;true;false;true;true
